"","document","topic","gamma"
"398","455_1830_Я_Я4_nc_core",1,0.110169491525424
"399","456_1831_Я_Я4_nc_core",1,0.127450980392157
"400","457_1830_Я_Я4_canon_core",1,0.0415549597855228
"401","458_1822_Я_Я4_nc_core",1,0.00495049504950495
"402","459_1822_Я_Я3_nc_core",1,0.00595238095238095
"403","460_1822_Я_ЯВ_nc_core",1,0.00290697674418605
"404","461_1822_Я_ЯВ_nc_core",1,0.147619047619048
"405","462_1822_Я_ЯВ_canon_core",1,0.123318385650224
"406","463_1823_Я_Я5_nc_core",1,0.152173913043478
"407","464_1823_Я_Я6_nc_core",1,0.0037037037037037
"408","465_1823_Я_Я6_canon_core",1,0.0172413793103448
"409","466_1823_Я_Я5_canon_core",1,0.0286624203821656
"410","467_1825_Я_Я4_canon_core",1,0.4375
"411","468_1817_Я_Я4_nc_core",1,0.252380952380952
"412","469_1817_Я_Я64646663_canon_core",1,0.00100200400801603
"413","47_1821_Я_Я6_canon_core",1,0.00175438596491228
"414","471_1817_Я_ЯВ_canon_core",1,0.0280612244897959
"415","472_1817_Я_ЯВ_nc_core",1,0.0182186234817814
"416","473_1817_Я_Я64_canon_core",1,0.0965909090909091
"417","475_1817_Х_Х4_nc_core",1,0.0138121546961326
"418","476_1817_Я_Я6_nc_core",1,0.0116822429906542
"419","477_1817_Я_Я4_canon_core",1,0.00793650793650794
"420","478_1817_Я_Я6_nc_core",1,0.0234375
"421","479_1817_Я_Я6_canon_core",1,0.0326086956521739
"422","480_1817_Я_Я6_nc_core",1,0.00111607142857143
"423","481_1817_Полиметр_Полиметр_nc_core",1,0.127376425855513
"424","482_1817_Я_ЯВ_nc_core",1,0.0283018867924528
"425","483_1817_Я_Я4_nc_core",1,0.267241379310345
"426","484_1817_Я_ЯВ_canon_core",1,0.123853211009174
"427","485_1817_Я_ЯВ_canon_core",1,0.0241935483870968
"428","486_1817_Я_ЯВ_nc_core",1,0.0258620689655172
"429","487_1817_Я_Я4_canon_core",1,0.009375
"430","488_1817_Х_Х4_nc_core",1,0.190217391304348
"431","489_1817_Я_Я4_canon_core",1,0.1036866359447
