id;Signature;Author;Title;First line;Year;Meter;Razmer;Razmer_wclaus;Genre subtitle;Source_name;Place;Year;Volume;Number;Page;Type;Перепечатки;Meter;Стоп;Клаузула;canon_ou_non;corpus
120;Н. Сушков;Сушков Н.В.;Звездочка;Сокрылося бледное дней кратких светило;1826;Амф;Амф4;Амф4с доп. Стопой?;Элегия (в огл.);Календарь муз на 1826 год;Спб;1826;NA;NA;128-130;alm;NA;Амф;4;с доп. Стопой?;nc;core
121;Мих. Дмитриев;Дмитриев М.А.;Елегия;Не огорчай меня сомненьем;1826;Я;Я4;Я4жмжм;NA;Урания;М;1826;NA;NA;68;alm;Повторно опубликовано: Стихотворения Михаила Дмитриева. М., 1830. Ч. 1. С. 56.;Я;4;жмжм;nc;core
122;Н. Павлов;Павлов Н.Ф.;Елегия;Как быстрая волна в безбрежности морей;1824;Я;Я6663;Я6663мжмж;NA;Мнемозина;М.;1824;Ч. 1;NA;111;alm;NA;Я;6663;мжмж;nc;core
123;П…ъ;Павлов Н.Ф.;Элегия;Мой друг, я истощил бесплодное страданье;1824;Я;ЯВ;ЯВнеурег;NA;Мнемозина;М.;1824;Ч. 2;NA;68-69;alm;NA;Я;В;неурег;nc;core
124; -й-;[-й-];Свидание;Не тщетно возсылал моленья к небесам;1824;Я;Я6;Я6мжмж;Елегия;Мнемозина;М.;1824;Ч. 3;NA;155-156;alm;NA;Я;6;мжмж;nc;core
127;Масальский;Масальский К.П.;Элегия;Чья это новая гробница;1830;Я;Я4;Я4неурег;NA;СО;NA;1830;Т. 9;№ 3;184-186;per;NA;Я;4;неурег;nc;core
128;С. Каратеев;[С. Каратеев];Элегия на смерть младенца Княжны Катерины Дундуковой-Корсаковой;Видал ли ты как за горою;1830;Я;Я4;Я4жмжм;Посвящ. К.М.А. Дундукову-Корсакову;СО;NA;1830;Т. 9;№ 5;307-308;per;NA;Я;4;жмжм;nc;core
129;Александр Глебов;Глебов А.Н.;Элегия;Давно ли ты шаля смеясь играя;1829;Я;Я5;Я5жмжм;NA;СО;NA;1829;Т. 3;№ 18;237-240;per;NA;Я;5;жмжм;nc;core
130;***;[Без подписи];Элегия;О пощади зачем сей пылкий взгляд;1834;Я;ЯВ;ЯВнеурег;С. Г. Э.;СО;NA;1834;Т. 42;№ 16;558;per;NA;Я;В;неурег;nc;core
131;NA;Дмитриев М.А.;Элегия;Друг милый! от чего невольно каплют слезы;1827;Я;ЯВ;ЯВнеурег;NA;МВ;NA;1827;Ч. 6;№ 22;131-132;per;С разночтением опубликовано: Стихотворения Михаила Дмитриева. М., 1830. Ч. 1. С. 25-27.;Я;В;неурег;nc;core
132;Дмитриев Мих.;Дмитриев М.А.;К друзьям;Не радуйтесь, друзья младые;1827;Я;Я4;Я4неурег;Элегия;МВ;NA;1827;Ч. 1;№ 3;167-168;per;Повторно опубликовано: Стихотворения Михаила Дмитриева. М., 1830. Ч. 1. С. 50-51.;Я;4;неурег;nc;core
